1.4,3250,2,1,30:51.4
1.12,3203,2,1,30:52.3
1.2,3250,2,1,30:52.6
1.8,3273,2,1,30:52.7
1.16,3273,2,1,30:53.1
1.4,3250,2,1,30:53.3
1.2,3250,2,1,30:55.7
1.12,3203,2,2,40:51.7
1.4,3250,2,2,40:52.0
1.4,3250,2,2,40:53.0
1.16,3273,2,2,40:53.2
1.19,3273,2,2,40:53.4
1.18,3250,2,2,40:54.5
1.8,3273,2,2,40:54.6
1.2,3250,2,2,40:55.3
1.16,3230,2,3,50:51.0
1.19,3230,2,3,50:52.8
1.4,3250,2,3,50:53.6
1.19,3230,2,3,50:53.8
1.4,3250,2,3,50:54.7
1.19,3230,2,3,50:55.9
1.2,3250,2,3,50:56.0
1.7,3230,2,3,50:56.2
1.8,3230,2,3,50:56.6
1.2,3250,2,3,50:57.1
1.8,3230,2,3,50:57.6
1.8,3230,2,3,50:58.6
1.16,3230,2,4,00:51.1
1.12,3203,2,4,00:52.4
1.4,3250,2,4,00:53.2
1.19,3230,2,4,00:53.4
1.8,3230,2,4,00:58.5
1.2,3250,2,4,00:58.8
1.7,3230,2,4,00:59.1
1.2,3250,2,4,01:00.0
1.18,3250,2,4,01:02.2
1.12,3203,2,5,10:55.7
1.19,3230,2,5,10:56.3
1.2,3250,2,5,10:59.6
1.18,3250,2,5,11:00.7
1.7,3230,2,5,11:01.8
1.8,3230,2,5,11:02.5
1.8,3230,2,5,11:03.7
1.16,3230,2,6,20:53.1
1.4,3250,2,6,20:54.3
1.19,3230,2,6,20:54.6
1.2,3250,2,6,21:01.4
1.7,3183,2,6,21:03.5
1.8,3230,2,6,21:04.5
1.8,3230,2,6,21:05.5
1.16,3230,2,7,30:50.9
1.12,3203,2,7,30:54.2
1.4,3250,2,7,30:54.9
1.4,3250,2,7,30:55.9
1.2,3203,2,7,31:03.2
1.18,3250,2,7,31:04.3
1.8,3230,2,7,31:05.4
1.16,3230,2,8,40:51.1
1.12,3156,2,8,40:53.5
1.7,3183,2,8,41:04.7
1.2,3203,2,8,41:05.0
1.2,3203,2,8,41:06.0
1.7,3183,2,8,41:07.0
1.2,3203,2,8,41:08.0
1.8,3230,2,8,41:09.6
1.12,3156,2,9,50:53.9
1.4,3250,2,9,50:56.0
1.19,3230,2,9,50:56.5
1.7,3183,2,9,51:06.3
1.18,3203,2,9,51:06.6
1.2,3203,2,9,51:07.7
