33240,634592,3294,48566,33240,634592,3294,48566
55222,1267918,9882,86858,21982,633326,6588,38292
77196,1901300,16470,125152,21974,633382,6588,38294
99094,2534694,23058,162974,21898,633394,6588,37822
121100,3168012,29646,201262,22006,633318,6588,38288
143000,3801418,36234,239080,21900,633406,6588,37818
164998,4435204,42822,277320,21998,633786,6588,38240
186722,5068792,49800,315514,21724,633588,6978,38194
208712,5702110,56388,353830,21990,633318,6588,38316
230720,6335436,62976,392076,22008,633326,6588,38246
252714,6968738,69564,430810,21994,633302,6588,38734
274710,7602076,76152,468966,21996,633338,6588,38156
296718,8235392,82740,507246,22008,633316,6588,38280
