<<<<<<<============************************====================>>>>>>>>>
	 	    Developed by:
	Prof. Chiranjeev Kumar, Prof. Haider Banka
		   Himanshu Ranjan Seth
	 Department of Computer Science & Engg.,
	 INDIAN INSTITUTE OF TECHNOLOGY, Dhanbad
<<<<<<<============************************====================>>>>>>>>>
IEEE 802.15.4: Yes, Sub-GHz: No, BLE: Yes, Prop: Yes
1213474,64990166,518310,18617494,12456,642902,5138,186776
1225804,65633488,523382,18804194,12330,643322,5072,186698
1237236,66277184,528532,18986350,11430,643696,5150,182154
1247944,66921952,533670,19163998,10706,644768,5138,177646
1259090,67566016,538802,19344746,11144,644064,5132,180746
1270680,68209970,543882,19527998,11588,643954,5080,183250
1283136,68852664,549040,19714556,12454,642694,5158,186556
1295666,69495490,554116,19901402,12530,642826,5076,186844
1308108,70138394,559254,20088180,12440,642904,5138,186776
1319944,70782014,564406,20272722,11834,643620,5152,184540
1331896,71425344,569552,20458062,11950,643330,5146,185338
1344322,72068274,574626,20644906,12424,642930,5074,186842
1356776,72711180,579770,20831680,12452,642906,5144,186772
1369006,73354526,584912,21018158,12228,643346,5142,186476
1380154,73998552,590050,21198876,11146,644026,5138,180716
1392520,74641520,595128,21385754,12364,642968,5078,186876
1404958,75284438,600202,21572588,12438,642918,5074,186832
1417406,75927350,605352,21759352,12446,642912,5150,186762
1429272,76570984,610492,21944212,11864,643634,5140,184858
1441402,77214308,615568,22129648,12128,643324,5076,185434
1453490,77857444,620710,22314762,12086,643136,5142,185112
1465066,78501192,625854,22498352,11574,643748,5144,183588
1477532,79144104,630996,22685144,12464,642912,5142,186790
1489978,79787014,636074,22871986,12446,642910,5078,186840
1502432,80429920,641156,23058830,12452,642906,5082,186842
1514776,81072844,646304,23245572,12342,642924,5148,186740
1526208,81716868,651442,23427394,11430,644024,5138,181820
1537268,82361336,656520,23606606,11058,644468,5078,179210
1549624,83004388,661658,23793014,12354,643052,5138,186406
1561476,83647664,666794,23977238,11850,643276,5136,184222
1572464,84292150,671936,24156252,10988,644486,5142,179012
1583598,84936228,677080,24337000,11132,644078,5144,180746
1595936,85579220,682148,24523872,12338,642992,5068,186870
1608398,86222118,687236,24710698,12460,642898,5088,186824
1620892,86864984,692386,24897460,12492,642866,5150,186760
1633024,87508368,697526,25083282,12130,643384,5140,185820
1644160,88152466,702670,25264046,11134,644098,5144,180762
1656480,88795476,707752,25450926,12320,643010,5082,186878
1668960,89438356,712892,25637694,12478,642880,5140,186766
1681426,90081250,718040,25824460,12464,642894,5148,186764
1693876,90724146,723116,26011302,12448,642896,5076,186840
1705958,91367576,728266,26196674,12080,643430,5150,185370
1717516,92011386,733396,26380328,11556,643810,5130,183652
1729938,92654178,738476,26567022,12422,642792,5080,186692
1742408,93297068,743558,26753860,12468,642890,5082,186836
1754866,93939970,748704,26940632,12456,642902,5146,186770
1767308,94582888,753784,27127488,12440,642918,5080,186854
1779184,95226512,758924,27312348,11874,643624,5140,184858
1790086,95870860,764002,27491916,10900,644348,5078,179566
1802412,96513864,769590,27678798,12326,643004,5588,186880
1814876,97156760,774730,27865576,12462,642896,5140,186776
