0,0,0,0,0,0,0,0,0,3.2
0,0.043,0,0,0,0,0,0.043,0.01075,3.18925
0,0.043,0,0,0,0,0.047,0.043,0.016625,3.183375
0,0.043,0.047,0,0,0,0.047,0.043,0.0225,3.1775
0.047,0.043,0.047,0,0,0,0.047,0.043,0.028375,3.171625
0.047,0.043,0.047,0.047,0.047,0,0.047,0.043,0.040125,3.159875
0.047,0.043,0.047,0.047,0.047,0.047,0.047,0.043,0.046,3.154
0.047,0.043,0.047,0.047,0.047,0.047,0.047,0.043,0.046,3.154
0.047,0.09,0.047,0.047,0.047,0.047,0.047,0.043,0.051875,3.148125
0.047,0.09,0.047,0.047,0.047,0.047,0.047,0.09,0.05775,3.14225
0.047,0.09,0.047,0.047,0.047,0.047,0.047,0.09,0.05775,3.14225
0.047,0.09,0.094,0.047,0.047,0.047,0.09,0.09,0.069,3.131
0.047,0.09,0.094,0.047,0.047,0.047,0.09,0.09,0.069,3.131
0.09,0.09,0.094,0.047,0.047,0.047,0.09,0.09,0.074375,3.125625
0.09,0.09,0.094,0.047,0.094,0.047,0.09,0.09,0.08025,3.11975
0.09,0.133,0.094,0.047,0.094,0.047,0.09,0.09,0.085625,3.114375
0.09,0.133,0.137,0.047,0.094,0.047,0.09,0.09,0.091,3.109
0.09,0.133,0.137,0.047,0.094,0.047,0.09,0.09,0.091,3.109
0.09,0.133,0.137,0.09,0.094,0.094,0.09,0.09,0.10225,3.09775
0.09,0.133,0.137,0.09,0.094,0.094,0.09,0.09,0.10225,3.09775
0.09,0.133,0.137,0.09,0.094,0.094,0.09,0.09,0.10225,3.09775
0.09,0.133,0.137,0.09,0.094,0.094,0.09,0.133,0.107625,3.092375
0.09,0.133,0.137,0.09,0.094,0.094,0.137,0.133,0.1135,3.0865
0.09,0.133,0.137,0.09,0.094,0.094,0.137,0.133,0.1135,3.0865
0.09,0.133,0.137,0.09,0.094,0.094,0.137,0.133,0.1135,3.0865
0.09,0.133,0.137,0.09,0.137,0.094,0.137,0.133,0.118875,3.081125
0.09,0.18,0.137,0.09,0.137,0.094,0.137,0.133,0.12475,3.07525
0.09,0.18,0.137,0.09,0.137,0.094,0.137,0.133,0.12475,3.07525
0.09,0.18,0.137,0.137,0.137,0.094,0.137,0.133,0.130625,3.069375
0.137,0.18,0.184,0.137,0.137,0.094,0.137,0.133,0.142375,3.057625
0.137,0.18,0.184,0.137,0.137,0.094,0.137,0.133,0.142375,3.057625
0.09,0.18,0.184,0.137,0.137,0.137,0.137,0.133,0.141875,3.058125
0.137,0.18,0.184,0.137,0.137,0.137,0.137,0.133,0.14775,3.05225
0.137,0.18,0.184,0.137,0.137,0.137,0.137,0.133,0.14775,3.05225
0.137,0.18,0.184,0.137,0.137,0.137,0.137,0.133,0.14775,3.05225
